Customers,Quantity,Date,Total Payment in TND
Banque Internationale Arabe de Tunisie (BIAT),125,2006-09-21,1753000
Arab Tunisian Bank (ATB),95,2005-02-19,1684635
Banque de Tunisie (BT),45,2022-03-09,498240
Banque de Tunisie (BT),29,2012-05-21,560280
Banque de l'Habitat (BH),191,2001-01-25,3307929
Banque Tuniso-Libyenne (BTL),91,2002-03-16,1046955
Banque de Tunisie (BT),144,2005-11-02,1836576
Banque Internationale Arabe de Tunisie (BIAT),30,2010-05-25,544500
Attijari Bank,164,2002-08-16,1949304
Amen Bank (AB),54,2007-12-10,968976
Banque de l'Habitat (BH),71,2014-03-16,1306542
La Poste Tunisienne,72,2001-05-13,1134432
Arab Banking Corporation (ABC),81,2017-10-03,1440018
Arab Banking Corporation (ABC),61,2011-05-12,788059
Banque Nationale Agricole (BNA),31,2017-09-25,494264
La Poste Tunisienne,178,2019-10-01,3059820
Banque de l'Habitat (BH),88,2012-10-06,1442672
Banque de l'Habitat (BH),51,2017-05-30,1006332
Arab Banking Corporation (ABC),184,2010-02-02,3359472
Banque Nationale Agricole (BNA),170,2019-07-28,3227620
Banque Internationale Arabe de Tunisie (BIAT),122,2020-09-10,1407270
Banque Tuniso-Libyenne (BTL),51,2009-03-11,913257
Arab Banking Corporation (ABC),44,2002-10-28,686972
Banque Tuniso-Libyenne (BTL),115,2019-06-27,1334575
Amen Bank (AB),188,2008-02-18,2612824
Banque de Tunisie (BT),26,2004-07-11,427986
Arab Tunisian Bank (ATB),143,2009-10-26,2125838
Banque de Tunisie (BT),85,2014-10-30,886040
Banque Internationale Arabe de Tunisie (BIAT),153,2002-08-09,2109258
Arab Tunisian Bank (ATB),199,2004-02-22,2777841
Attijari Bank,197,2000-08-13,2216841
Banque de Tunisie (BT),23,2012-04-26,388194
Arab Banking Corporation (ABC),45,2021-03-17,574695
Banque Nationale Agricole (BNA),25,2023-05-16,450250
Banque de Tunisie (BT),146,2019-10-26,2415862
Banque de Tunisie (BT),52,2006-02-10,589368
Banque de Tunisie (BT),31,2023-12-14,395281
Banque de l'Habitat (BH),96,2001-11-11,1454784
Arab Tunisian Bank (ATB),154,2009-01-21,2510970
Banque Nationale Agricole (BNA),99,2013-01-22,1373625
Banque Tuniso-Libyenne (BTL),79,2009-05-31,816307
Banque Tuniso-Libyenne (BTL),190,2021-03-06,2733340
Arab Tunisian Bank (ATB),155,2015-06-07,1665940
Amen Bank (AB),76,2014-01-21,1080568
Banque de l'Habitat (BH),26,2013-04-19,329082
Banque de Tunisie (BT),177,2017-08-11,1887882
Attijari Bank,194,2003-11-28,2675648
Banque de l'Habitat (BH),31,2019-11-29,320199
Attijari Bank,119,2020-05-23,1659336
Arab Tunisian Bank (ATB),21,2009-08-24,409017
Arab Tunisian Bank (ATB),64,2001-03-20,728320
Amen Bank (AB),38,2002-01-20,427500
Banque Internationale Arabe de Tunisie (BIAT),195,2019-02-10,3794505
Banque Internationale Arabe de Tunisie (BIAT),32,2010-06-25,594080
La Poste Tunisienne,118,2010-12-11,1682208
Arab Banking Corporation (ABC),74,2018-05-28,926110
Amen Bank (AB),47,2009-01-28,815450
Banque Nationale Agricole (BNA),78,2014-11-20,1122342
Amen Bank (AB),155,2011-02-06,3045440
Banque Tuniso-Libyenne (BTL),190,2004-01-16,3007320
Arab Banking Corporation (ABC),134,2019-11-22,1579056
Banque Nationale Agricole (BNA),91,2006-09-26,1650467
Banque Nationale Agricole (BNA),195,2009-10-12,2163525
Banque de l'Habitat (BH),51,2013-02-21,568752
Banque Tuniso-Libyenne (BTL),168,2010-12-24,2443728
Banque Tuniso-Libyenne (BTL),125,2015-10-03,2095250
Banque de Tunisie (BT),68,2015-07-05,821304
La Poste Tunisienne,24,2015-08-17,417120
Banque de l'Habitat (BH),22,2022-07-10,271788
Attijari Bank,127,2012-05-03,1527302
Arab Tunisian Bank (ATB),177,2002-08-17,2139045
Banque de Tunisie (BT),158,2020-11-26,1788244
Banque Internationale Arabe de Tunisie (BIAT),173,2019-12-22,2965220
Banque Tuniso-Libyenne (BTL),151,2018-02-28,1657225
Amen Bank (AB),84,2017-04-17,1204392
Amen Bank (AB),77,2022-04-08,1341802
La Poste Tunisienne,88,2020-05-27,1065240
Amen Bank (AB),152,2006-06-14,1546752
Amen Bank (AB),117,2011-08-22,2234700
Banque de Tunisie (BT),31,2000-08-05,441409
Amen Bank (AB),49,2013-06-09,597163
Amen Bank (AB),68,2014-05-08,1054340
Arab Banking Corporation (ABC),119,2005-03-10,2349655
Amen Bank (AB),53,2011-08-28,593017
Banque de Tunisie (BT),143,2003-10-16,1709851
Banque de l'Habitat (BH),47,2001-11-26,841159
Banque Internationale Arabe de Tunisie (BIAT),52,2007-12-21,965588
Banque Internationale Arabe de Tunisie (BIAT),160,2020-04-22,2902400
Arab Tunisian Bank (ATB),32,2009-06-15,611232
Banque Nationale Agricole (BNA),23,2018-10-30,364711
Banque Internationale Arabe de Tunisie (BIAT),138,2002-03-08,2210622
Banque Tuniso-Libyenne (BTL),153,2008-12-17,1889856
Banque de Tunisie (BT),155,2015-06-18,3005760
Arab Tunisian Bank (ATB),116,2013-02-06,2084752
Banque Internationale Arabe de Tunisie (BIAT),106,2023-04-11,1928246
Arab Tunisian Bank (ATB),111,2011-11-05,2179707
Banque Nationale Agricole (BNA),179,2018-09-30,1864822
Attijari Bank,90,2014-02-10,1583010
Amen Bank (AB),174,2007-04-25,2369532
Attijari Bank,27,2016-05-09,293247
Arab Tunisian Bank (ATB),119,2009-01-31,1765127
Banque de Tunisie (BT),49,2004-11-20,880236
