date,bank,town,num_technicians
2020-01-01,Attijari Bank,Manouba,3
2020-01-01,La Poste Tunisienne,Zaghouan,5
2020-01-02,Banque de l'Habitat (BH),Jendouba,7
2020-01-03,Amen Bank (AB),Sfax,4
2020-01-03,Arab Tunisian Bank (ATB),Kairouan,1
2020-01-03,Arab Banking Corporation (ABC),Ariana,2
2020-01-03,Banque de l'Habitat (BH),Bizerte,2
2020-01-03,Banque Nationale Agricole (BNA),Kairouan,5
2020-01-04,Banque de l'Habitat (BH),Kebili,5
2020-01-04,Banque Tuniso-Libyenne (BTL),Ariana,2
2020-01-04,Banque Nationale Agricole (BNA),Nabeul,4
2020-01-05,La Poste Tunisienne,Mahdia,4
2020-01-05,Banque Nationale Agricole (BNA),Medenine,4
2020-01-05,La Poste Tunisienne,Tunis,2
2020-01-05,Amen Bank (AB),Nabeul,5
2020-01-05,Arab Tunisian Bank (ATB),Kairouan,5
2020-01-05,Banque de l'Habitat (BH),Béja,5
2020-01-05,Amen Bank (AB),Mahdia,8
2020-01-05,La Poste Tunisienne,Kasserine,1
2020-01-06,Banque Tuniso-Libyenne (BTL),Medenine,5
2020-01-06,Banque Tuniso-Libyenne (BTL),Zaghouan,8
2020-01-06,Banque de Tunisie (BT),Ben Arous,5
2020-01-06,Banque de Tunisie (BT),Tataouine,1
2020-01-06,Arab Tunisian Bank (ATB),Ben Arous,6
2020-01-06,Banque de l'Habitat (BH),Gabès,1
2020-01-06,Arab Banking Corporation (ABC),Kasserine,1
2020-01-07,Banque de l'Habitat (BH),Béja,1
2020-01-07,Banque Internationale Arabe de Tunisie (BIAT),Zaghouan,1
2020-01-07,Attijari Bank,Sidi Bouzid,5
2020-01-07,Banque Tuniso-Libyenne (BTL),Sidi Bouzid,6
2020-01-08,La Poste Tunisienne,Sousse,6
2020-01-08,Banque de l'Habitat (BH),Manouba,2
2020-01-08,Arab Tunisian Bank (ATB),Tunis,8
2020-01-08,Arab Tunisian Bank (ATB),Kef,2
2020-01-08,La Poste Tunisienne,Sousse,8
2020-01-08,Amen Bank (AB),Béja,6
2020-01-08,Banque de l'Habitat (BH),Siliana,4
2020-01-08,Banque Nationale Agricole (BNA),Kairouan,3
2020-01-08,Banque Tuniso-Libyenne (BTL),Manouba,7
2020-01-08,La Poste Tunisienne,Zaghouan,7
2020-01-09,Banque de Tunisie (BT),Monastir,1
2020-01-09,Attijari Bank,Zaghouan,6
2020-01-10,Banque Tuniso-Libyenne (BTL),Manouba,1
2020-01-10,La Poste Tunisienne,Siliana,2
2020-01-10,Banque Internationale Arabe de Tunisie (BIAT),Sidi Bouzid,1
2020-01-10,Banque de l'Habitat (BH),Tozeur,1
2020-01-10,La Poste Tunisienne,Manouba,1
2020-01-10,Banque Internationale Arabe de Tunisie (BIAT),Kebili,8
2020-01-10,Banque Nationale Agricole (BNA),Bizerte,3
2020-01-10,Amen Bank (AB),Jendouba,4
2020-01-10,Banque de l'Habitat (BH),Kebili,4
2020-01-11,Arab Banking Corporation (ABC),Ben Arous,7
2020-01-11,Attijari Bank,Monastir,5
2020-01-12,Banque de l'Habitat (BH),Bizerte,4
2020-01-12,Banque Internationale Arabe de Tunisie (BIAT),Siliana,6
2020-01-12,Amen Bank (AB),Sidi Bouzid,5
2020-01-12,Arab Banking Corporation (ABC),Zaghouan,8
2020-01-13,Banque Internationale Arabe de Tunisie (BIAT),Gabès,3
2020-01-13,Attijari Bank,Kef,4
2020-01-13,Amen Bank (AB),Tunis,1
2020-01-13,La Poste Tunisienne,Tozeur,2
2020-01-13,Amen Bank (AB),Sidi Bouzid,8
2020-01-13,Banque Internationale Arabe de Tunisie (BIAT),Manouba,6
2020-01-13,Banque de l'Habitat (BH),Manouba,3
2020-01-13,Arab Tunisian Bank (ATB),Béja,7
2020-01-14,Amen Bank (AB),Siliana,2
2020-01-14,Attijari Bank,Mahdia,6
2020-01-14,Banque Nationale Agricole (BNA),Kasserine,5
2020-01-14,Banque Nationale Agricole (BNA),Manouba,3
2020-01-14,Banque de Tunisie (BT),Sidi Bouzid,4
2020-01-14,Arab Tunisian Bank (ATB),Sidi Bouzid,6
2020-01-14,Attijari Bank,Kef,2
2020-01-14,Arab Banking Corporation (ABC),Monastir,1
2020-01-15,Banque Internationale Arabe de Tunisie (BIAT),Béja,6
2020-01-15,Banque de l'Habitat (BH),Zaghouan,3
2020-01-15,Banque Internationale Arabe de Tunisie (BIAT),Tunis,8
2020-01-15,Banque de l'Habitat (BH),Sousse,5
2020-01-16,Arab Banking Corporation (ABC),Béja,3
2020-01-16,Banque Nationale Agricole (BNA),Ben Arous,3
2020-01-16,Amen Bank (AB),Ariana,7
2020-01-17,Banque de l'Habitat (BH),Béja,3
2020-01-17,Banque de Tunisie (BT),Tozeur,6
2020-01-17,Arab Banking Corporation (ABC),Tunis,1
2020-01-17,Banque Nationale Agricole (BNA),Medenine,6
2020-01-17,Banque de Tunisie (BT),Sfax,2
2020-01-17,Arab Banking Corporation (ABC),Tataouine,6
2020-01-17,Banque Tuniso-Libyenne (BTL),Tozeur,5
2020-01-17,Attijari Bank,Nabeul,4
